#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
116; 33456; 32.11; 25.73; -9.63; -0.27; 0.59; 9.98; 0.06; 0.23; 969.00; 1000.00; 497.00; 496.00; 498.00; 507.00; 520.00; 0.00
117; 33556; 32.11; 25.73; -9.67; -0.27; 0.23; 9.83; 0.15; 0.23; 940.00; 967.00; 495.00; 508.00; 495.00; 508.00; 513.00; 0.00
118; 33656; 32.11; 25.73; -9.70; -0.31; 0.47; 9.86; 0.08; 0.40; 974.00; 989.00; 496.00; 522.00; 501.00; 506.00; 516.00; 0.00
119; 33756; 32.12; 25.73; -9.62; -0.26; 0.51; 9.94; 0.08; 0.27; 988.00; 1001.00; 498.00; 523.00; 520.00; 507.00; 530.00; 0.00
120; 33856; 32.12; 25.74; -9.50; -0.29; 0.69; 9.86; 0.10; 0.38; 942.00; 972.00; 494.00; 511.00; 526.00; 511.00; 516.00; 0.00
121; 33956; 32.12; 25.74; -9.60; -0.22; 0.57; 10.08; 0.15; 0.23; 951.00; 987.00; 497.00; 502.00; 517.00; 509.00; 522.00; 0.00
122; 34056; 32.12; 25.74; -9.68; -0.23; 0.54; 10.02; 0.13; 0.20; 929.00; 1023.00; 502.00; 492.00; 502.00; 508.00; 512.00; 0.00
123; 34156; 32.12; 25.74; -9.53; -0.25; 0.71; 9.80; 0.11; 0.27; 955.00; 973.00; 496.00; 508.00; 491.00; 508.00; 525.00; 0.00
124; 34256; 32.12; 25.74; -9.64; -0.28; 0.56; 9.95; 0.14; 0.41; 967.00; 986.00; 497.00; 522.00; 498.00; 510.00; 522.00; 0.00
125; 34356; 32.12; 25.74; -9.66; -0.29; 0.53; 10.02; 0.06; 0.38; 915.00; 1006.00; 497.00; 524.00; 517.00; 512.00; 517.00; 0.00
126; 34456; 32.12; 25.74; -9.63; -0.36; 0.76; 9.99; 0.03; 0.39; 952.00; 980.00; 498.00; 509.00; 524.00; 508.00; 526.00; 0.00
127; 34556; 32.12; 25.74; -9.61; -0.30; 0.53; 9.89; 0.04; 0.26; 959.00; 987.00; 495.00; 498.00; 519.00; 508.00; 526.00; 0.00
128; 34656; 32.12; 25.74; -9.65; -0.26; 0.67; 9.92; 0.22; 0.36; 925.00; 998.00; 496.00; 498.00; 502.00; 509.00; 517.00; 0.00
129; 34756; 32.12; 25.74; -9.72; -0.29; 0.58; 9.73; -0.11; 0.29; 948.00; 986.00; 497.00; 506.00; 491.00; 508.00; 529.00; 0.00
130; 34856; 32.12; 25.74; -9.51; -0.29; 0.49; 9.93; 0.12; 0.44; 963.00; 989.00; 495.00; 524.00; 502.00; 506.00; 522.00; 0.00
131; 34956; 32.12; 25.74; -9.57; -0.35; 0.48; 9.98; 0.05; 0.53; 927.00; 961.00; 496.00; 524.00; 515.00; 507.00; 503.00; 0.00
132; 35056; 32.12; 25.74; -9.68; -0.26; 0.60; 9.92; -0.02; 0.36; 956.00; 981.00; 496.00; 510.00; 523.00; 509.00; 525.00; 0.00
133; 35156; 32.12; 25.74; -9.70; -0.21; 0.69; 10.02; 0.13; 0.29; 972.00; 1023.00; 499.00; 499.00; 520.00; 509.00; 517.00; 0.00
134; 35256; 32.12; 25.74; -9.56; -0.23; 0.49; 10.01; 0.23; 0.13; 926.00; 1004.00; 494.00; 492.00; 502.00; 509.00; 503.00; 0.00
135; 35356; 32.12; 25.74; -9.60; -0.32; 0.51; 9.78; 0.39; 0.57; 963.00; 986.00; 497.00; 504.00; 493.00; 507.00; 524.00; 0.00
136; 35456; 32.12; 25.74; -9.73; -0.28; 0.47; 9.93; 0.08; 0.08; 979.00; 1009.00; 483.00; 519.00; 498.00; 506.00; 512.00; 0.00
137; 35556; 32.12; 25.74; -9.66; -0.34; 0.54; 10.01; 0.06; 0.36; 928.00; 1023.00; 494.00; 525.00; 512.00; 508.00; 515.00; 0.00
138; 35656; 32.12; 25.74; -9.66; -0.16; 0.67; 9.96; 0.10; 0.14; 962.00; 985.00; 496.00; 512.00; 524.00; 507.00; 525.00; 0.00
139; 35756; 32.13; 25.74; -9.64; -0.30; 0.70; 10.01; 0.08; 0.51; 951.00; 955.00; 496.00; 500.00; 522.00; 506.00; 519.00; 0.00
140; 35856; 32.12; 25.75; -9.71; -0.26; 0.53; 9.88; 0.14; 0.31; 927.00; 1001.00; 495.00; 491.00; 505.00; 509.00; 534.00; 0.00
141; 35956; 32.12; 25.75; -9.67; -0.30; 0.62; 10.08; 0.03; 0.22; 962.00; 988.00; 496.00; 504.00; 493.00; 507.00; 524.00; 0.00
142; 36056; 32.12; 25.75; -9.74; -0.38; 0.89; 9.73; -0.02; 0.22; 967.00; 994.00; 498.00; 523.00; 498.00; 507.00; 521.00; 0.00
143; 36156; 32.12; 25.74; -9.57; -0.32; 0.56; 10.07; -0.10; 0.57; 923.00; 953.00; 493.00; 526.00; 514.00; 506.00; 507.00; 0.00
144; 36256; 32.13; 25.74; -9.84; -0.33; 0.73; 9.98; 0.04; 0.33; 960.00; 991.00; 498.00; 512.00; 526.00; 508.00; 524.00; 0.00
145; 36356; 32.13; 25.75; -9.53; -0.19; 0.87; 9.85; 0.05; 0.69; 968.00; 955.00; 494.00; 499.00; 522.00; 510.00; 520.00; 0.00
146; 36456; 32.13; 25.75; -9.69; -0.20; 0.45; 9.82; 0.25; 0.34; 927.00; 957.00; 496.00; 493.00; 508.00; 508.00; 518.00; 0.00
147; 36556; 32.13; 25.75; -9.73; -0.21; 0.61; 9.99; 0.02; 0.28; 960.00; 989.00; 496.00; 506.00; 492.00; 506.00; 527.00; 0.00
148; 36656; 32.13; 25.75; -9.75; -0.51; 0.52; 9.91; 0.01; 0.66; 941.00; 1023.00; 495.00; 518.00; 496.00; 508.00; 512.00; 0.00
149; 36756; 32.13; 25.75; -9.66; -0.25; 0.59; 9.92; 0.01; 0.43; 919.00; 963.00; 502.00; 527.00; 512.00; 507.00; 503.00; 0.00
150; 36856; 32.13; 25.75; -9.64; -0.30; 0.48; 9.91; 0.22; 0.17; 962.00; 991.00; 498.00; 516.00; 524.00; 512.00; 526.00; 0.00
151; 36956; 32.13; 25.75; -9.67; -0.41; 0.58; 9.96; 0.02; 0.39; 967.00; 952.00; 497.00; 496.00; 521.00; 510.00; 519.00; 0.00
152; 37056; 32.13; 25.75; -9.62; -0.17; 0.80; 9.96; 0.18; 0.40; 938.00; 1023.00; 493.00; 490.00; 501.00; 510.00; 527.00; 0.00
153; 37156; 32.13; 25.75; -9.71; -0.30; 0.76; 9.92; 0.08; 0.26; 971.00; 993.00; 496.00; 505.00; 493.00; 507.00; 520.00; 0.00
154; 37256; 32.13; 25.75; -9.64; -0.22; 0.57; 9.93; 0.02; 0.40; 938.00; 1001.00; 495.00; 516.00; 497.00; 509.00; 522.00; 0.00
